# Capture histories exported from 'signalCH' 
# Sat Sep 05 9:30:25 a.m. 2020 
# Session ID Occasion Detector Signal 
1 3200B 1 2 58.0767
1 3200B 1 3 50.3138
1 3200B 1 4 48.6828
1 3300A 1 1 50.7622
1 3300A 1 2 60.4503
1 3300A 1 3 54.6794
1 3300A 1 4 63.2572
1 3500A 1 1 56.571
1 3500A 1 2 52.0409
1 3500A 1 3 56.6653
1 3500A 1 4 52.3815
1 3500B 1 1 65.8088
1 3500B 1 2 41.8555
1 3500B 1 3 42.9927
1 3500B 1 4 56.1707
1 3505B 1 1 58.2426
1 3505B 1 2 52.9917
1 3505B 1 3 48.3366
1 3505B 1 4 45.3708
1 3600A 1 1 56.1819
1 3600A 1 2 58.6554
1 3600A 1 3 57.4659
1 3600A 1 4 57.1426
1 3700A 1 1 54.2192
1 3700A 1 2 61.8151
1 3700A 1 3 52.0409
1 3700A 1 4 54.3811
1 3705A 1 1 46.903
1 3705A 1 2 71.4924
1 3705A 1 3 46.3078
1 3705A 1 4 61.0815
1 2100AX 1 1 52.5917
1 2100AX 1 2 48.1534
1 2100AX 1 3 56.3574
1 2100AX 1 4 60.7221
1 2100CX 1 1 53.6691
1 2100CX 1 2 48.1575
1 2100CX 1 3 50.7422
1 2100CX 1 4 45.3656
1 2155AX 1 1 56.834
1 2155AX 1 2 48.8884
1 2155AX 1 3 51.3015
1 2155AX 1 4 64.3215
1 2300AX 1 1 53.0934
1 2300AX 1 2 46.9001
1 2300AX 1 3 51.1691
1 2300AX 1 4 50.4922
1 2350BX 1 1 53.436
1 2350BX 1 2 54.4278
1 2350BX 1 3 65.4906
1 2350BX 1 4 63.0203
1 2350CX 1 1 54.5802
1 2350CX 1 2 70.3876
1 2350CX 1 3 65.8913
1 2350CX 1 4 47.3449
1 2350DX 1 1 45.1418
1 2350DX 1 2 55.3984
1 2350DX 1 3 58.0073
1 2350DX 1 4 55.5989
1 2400BX 1 1 50.1241
1 2400BX 1 2 61.6349
1 2400BX 1 3 56.216
1 2400BX 1 4 54.4217
1 2500AX 1 1 50.7873
1 2500AX 1 2 64.3646
1 2500AX 1 3 74.0975
1 2500AX 1 4 71.5939
1 2500BX 1 1 55.0318
1 2500BX 1 2 54.1745
1 2500BX 1 3 80.399
1 2500BX 1 4 53.9703
1 2500DX 1 1 60.3819
1 2500DX 1 2 58.445
1 2500DX 1 3 52.4386
1 2500DX 1 4 51.9054
1 2600AX 1 1 61.7017
1 2600AX 1 2 61.5164
1 2600AX 1 3 51.8894
1 2600AX 1 4 46.1114
1 2600BX 1 1 50.9034
1 2600BX 1 2 53.5707
1 2600BX 1 3 53.9879
1 2600BX 1 4 59.2577
1 2605AX 1 1 51.7383
1 2605AX 1 2 50.303
1 2605AX 1 3 55.3923
1 2605AX 1 4 47.6604
1 2700AX 1 1 60.0712
1 2700AX 1 2 46.3278
1 2700AX 1 3 48.1437
1 2700AX 1 4 57.1886
1 2705AX 1 1 64.4338
1 2705AX 1 2 59.6151
1 2705AX 1 3 50.3577
1 2705AX 1 4 49.1059
1 3005AX 1 1 58.2078
1 3005AX 1 2 64.4017
1 3005AX 1 3 54.5549
1 3005AX 1 4 59.0301
1 3155AX 1 1 59.1256
1 3155AX 1 2 62.9842
1 3155AX 1 3 51.0534
1 3155AX 1 4 55.0088
1 3155BX 1 1 47.5297
1 3155BX 1 2 66.2564
1 3155BX 1 3 38.4224
1 3155BX 1 4 60.7766
1 3255AX 1 1 57.3462
1 3255AX 1 2 50.2082
1 3255AX 1 3 56.7062
1 3255AX 1 4 57.3734
1 3355AX 1 1 49.1158
1 3355AX 1 2 50.3927
1 3355AX 1 3 52.5943
1 3355AX 1 4 44.7143
1 3405AX 1 1 58.787
1 3405AX 1 2 53.204
1 3405AX 1 3 50.7008
1 3405AX 1 4 66.2546
1 3550BX 1 1 52.0472
1 3550BX 1 2 44.994
1 3550BX 1 3 54.6271
1 3550BX 1 4 54.5532
1 3555AX 1 1 49.4483
1 3555AX 1 2 53.4181
1 3555AX 1 3 64.8375
1 3555AX 1 4 56.4336
1 3655AX 1 1 51.3537
1 3655AX 1 2 62.6611
1 3655AX 1 3 62.924
1 3655AX 1 4 46.1412
1 3655BX 1 1 40.7937
1 3655BX 1 2 51.6307
1 3655BX 1 3 50.4922
1 3655BX 1 4 57.4164
1 3755AX 1 1 53.2171
1 3755AX 1 2 57.4269
1 3755AX 1 3 51.2703
1 3755AX 1 4 52.0759
