# Capture histories exported from 'teCH' 
# Sat Jan 14 4:44:04 p.m. 2017 
# Session ID Occasion x y sex 
1 73 1 174.93 202.49 2
1 73 2 181.07 126.58 2
1 73 3 175.6 149.81 2
1 73 4 160.09 161.77 2
1 73 5 148.51 127.55 2
1 78 1 -74.01 18.98 2
1 78 2 -33.09 -9.5 2
1 78 3 -8.8 -3.79 2
1 78 4 -9.68 -4.78 2
1 78 5 -14.6 24.8 2
1 80 1 -9.71 -131.64 2
1 80 2 11.79 -81.8 2
1 80 3 7.76 -91.74 2
1 80 4 36.66 -121.06 2
1 80 5 4.28 -38.58 2
1 83 1 17.36 107.49 1
1 83 2 -27.23 160.34 1
1 83 3 70.29 170.83 1
1 83 4 24.6 203.97 1
1 83 5 17.63 186.07 1
1 86 1 108.4 -0.37 2
1 86 2 117.77 26.15 2
1 86 3 94.12 20.62 2
1 86 4 121.49 45.55 2
1 86 5 94.61 -12.15 2
1 87 1 -49.5 164.89 2
1 87 2 -37.17 133.41 2
1 87 3 -55.99 229.26 2
1 87 4 -53.76 114.65 2
1 87 5 -37.48 171.65 2
1 88 1 47.79 136.36 1
1 88 2 63.15 145.7 1
1 88 3 41.01 111.72 1
1 88 4 56.56 61.69 1
1 88 5 92.96 137.4 1
1 9 1 17.6 -77.48 2
1 9 2 26.42 -104.3 2
1 9 3 28.68 -96.78 2
1 9 4 60.03 -111.94 2
1 9 5 -22.9 -105.87 2
1 92 1 1 -94.54 2
1 92 2 -1.07 -85.96 2
1 92 3 -41.68 -93.98 2
1 92 4 -0.57 -103.75 2
1 92 5 -19.29 -105.99 2
1 94 1 202.89 -46.87 1
1 94 2 171.81 -31.97 1
1 94 3 189.94 -64.87 1
1 94 4 167.01 -62.19 1
1 94 5 209.83 -67.79 1
1 96 1 -53.35 -13.92 1
1 96 2 -93.66 -55.04 1
1 96 3 -99.8 -0.4 1
1 96 4 -88.28 -125.16 1
1 96 5 -104.76 -25.78 1
1 99 1 34.53 -72.41 2
1 99 2 14.47 -22.15 2
1 99 3 43.42 -2.35 2
1 99 4 27.48 -23.18 2
1 99 5 23.04 -18.07 2
